fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:10:32,bitcoin,btc,Bitcoin,69428,1388194553518,79914405368,71604,67656,0.5176848633924539,-0.6638644664438482,2026-02-07T19:10:27.419Z
2026-02-08T01:10:32,ethereum,eth,Ethereum,2094.11,252958947133,46581616956,2113.07,2001.54,1.3794409181657783,2.542699409952605,2026-02-07T19:10:27.436Z
2026-02-08T01:10:32,binancecoin,bnb,BNB,651.96,88922259166,1843035754,667.0,631.28,0.6975688389758216,-0.47639728650611685,2026-02-07T19:10:27.032Z
2026-02-08T01:10:32,solana,sol,Solana,88.59,50283002126,6583906373,89.4,84.66,1.1606077431857047,2.8392612698546458,2026-02-07T19:10:24.463Z
2026-02-08T01:11:32,bitcoin,btc,Bitcoin,69428,1388194553518,79914405368,71604,67656,0.5176848633924539,-0.6638644664438482,2026-02-07T19:10:27.419Z
2026-02-08T01:11:32,ethereum,eth,Ethereum,2094.11,252958947133,46581616956,2113.07,2001.54,1.3794409181657783,2.542699409952605,2026-02-07T19:10:27.436Z
2026-02-08T01:11:32,binancecoin,bnb,BNB,651.96,88922259166,1843035754,667.0,631.28,0.6975688389758216,-0.47639728650611685,2026-02-07T19:10:27.032Z
2026-02-08T01:11:32,solana,sol,Solana,88.59,50283002126,6583906373,89.4,84.66,1.1606077431857047,2.8392612698546458,2026-02-07T19:10:24.463Z
2026-02-08T01:12:32,bitcoin,btc,Bitcoin,69316,1388194553518,79603123859,71604,67656,0.42634107459154896,-0.8238795352013042,2026-02-07T19:12:25.908Z
2026-02-08T01:12:32,ethereum,eth,Ethereum,2090.36,252958947133,46056355432,2113.07,2001.54,1.204850891276784,2.359410260521126,2026-02-07T19:12:25.899Z
2026-02-08T01:12:32,binancecoin,bnb,BNB,650.92,88922259166,1825328922,667.0,631.28,0.6953903226683796,-0.29254998305034136,2026-02-07T19:12:25.574Z
2026-02-08T01:12:32,solana,sol,Solana,88.46,50283002126,6720429176,89.4,84.66,0.9799826655500842,2.9342467809333854,2026-02-07T19:12:25.280Z
2026-02-08T01:13:32,bitcoin,btc,Bitcoin,69316,1388194553518,79603123859,71604,67656,0.42634107459154896,-0.8238795352013042,2026-02-07T19:12:25.908Z
2026-02-08T01:13:32,ethereum,eth,Ethereum,2090.36,252958947133,46056355432,2113.07,2001.54,1.204850891276784,2.359410260521126,2026-02-07T19:12:25.899Z
